date,year,week,cases_per_sentinel,fear_index_avg,fear_index_weighted,weekly_deaths,fear_index,dining_index
2021-05-03,2021,18,0.01,27.6,31.933333333333334,30.0,31.933333333333334,10.0
2021-05-10,2021,19,0.0,21.2,25.53333333333333,37.0,25.53333333333333,8.736842105263158
2021-05-17,2021,20,0.0,17.6,20.133333333333333,67.0,20.133333333333333,7.473684210526316
2021-05-24,2021,21,0.0,12.6,15.2,92.0,15.2,8.105263157894736
2021-05-31,2021,22,0.0,14.2,17.666666666666668,98.0,17.666666666666668,8.105263157894736
2021-06-07,2021,23,0.0,13.8,16.6,97.0,16.6,9.052631578947368
2021-06-14,2021,24,0.0,12.4,15.533333333333331,54.0,15.533333333333331,17.31578947368421
2021-06-21,2021,25,0.0,11.4,14.8,43.0,14.8,14.894736842105264
2021-06-28,2021,26,0.01,17.4,20.933333333333334,20.0,20.933333333333334,14.68421052631579
2021-07-05,2021,27,0.0,17.8,22.33333333333333,7.0,22.33333333333333,17.210526315789473
2021-07-12,2021,28,0.0,15.8,20.0,5.0,20.0,17.526315789473685
2021-07-19,2021,29,0.0,25.8,31.066666666666663,5.0,31.066666666666663,13.736842105263158
2021-07-26,2021,30,0.0,31.6,38.6,3.0,38.6,12.526315789473685
2021-08-02,2021,31,0.0,32.6,40.333333333333336,3.0,40.333333333333336,15.052631578947368
2021-08-09,2021,32,0.0,46.4,56.0,2.0,56.0,11.210526315789474
2021-08-16,2021,33,0.0,40.6,49.266666666666666,5.0,49.266666666666666,9.68421052631579
2021-08-23,2021,34,0.0,31.8,39.73333333333333,7.0,39.73333333333333,7.7894736842105265
2021-08-30,2021,35,0.0,24.0,28.4,14.0,28.4,8.105263157894736
2021-09-06,2021,36,0.0,13.8,17.133333333333333,5.0,17.133333333333333,9.368421052631579
2021-09-13,2021,37,0.0,11.4,13.866666666666667,4.0,13.866666666666667,9.68421052631579
2021-09-20,2021,38,0.0,10.8,12.533333333333331,1.0,12.533333333333331,13.210526315789474
2021-09-27,2021,39,0.0,7.6,9.533333333333331,1.0,9.533333333333331,16.94736842105263
2021-10-04,2021,40,0.0,6.2,7.8,2.0,7.8,19.473684210526315
2021-10-11,2021,41,0.0,5.0,6.2,0.0,6.2,19.736842105263158
2021-10-18,2021,42,0.0,4.8,6.0,1.0,6.0,22.736842105263158
2021-10-25,2021,43,0.0,4.0,4.933333333333334,1.0,4.933333333333334,25.210526315789473
2021-11-01,2021,44,0.0,4.0,4.866666666666666,1.0,4.866666666666666,22.894736842105264
2021-11-08,2021,45,0.0,3.6,4.533333333333333,0.0,4.533333333333333,25.36842105263158
2021-11-15,2021,46,0.0,3.2,4.066666666666666,0.0,4.066666666666666,26.473684210526315
2021-11-22,2021,47,0.0,3.6,4.466666666666667,0.0,4.466666666666667,25.526315789473685
2021-11-29,2021,48,0.0,3.4,4.266666666666667,0.0,4.266666666666667,28.894736842105264
2021-12-06,2021,49,0.0,3.6,4.533333333333333,2.0,4.533333333333333,28.0
2021-12-13,2021,50,0.0,3.6,4.533333333333333,0.0,4.533333333333333,26.31578947368421
2021-12-20,2021,51,0.0,3.2,4.133333333333334,0.0,4.133333333333334,30.736842105263158
2021-12-27,2021,52,0.01,10.6,13.533333333333331,1.0,13.533333333333331,27.263157894736842
2022-01-03,2022,1,0.0,12.8,16.333333333333332,0.0,16.333333333333332,19.36842105263158
2022-01-10,2022,2,0.0,14.8,18.933333333333334,2.0,18.933333333333334,14.68421052631579
2022-01-17,2022,3,0.0,14.6,18.466666666666665,2.0,18.466666666666665,11.263157894736842
2022-01-24,2022,4,0.01,13.0,16.466666666666665,23.0,16.466666666666665,9.052631578947368
2022-01-31,2022,5,0.0,10.0,12.6,30.0,12.6,10.947368421052632
2022-02-07,2022,6,0.0,11.2,14.266666666666667,63.0,14.266666666666667,12.473684210526315
2022-02-14,2022,7,0.0,8.0,10.2,75.0,10.2,11.894736842105264
2022-02-21,2022,8,0.01,6.4,8.133333333333333,76.0,8.133333333333333,14.736842105263158
2022-02-28,2022,9,0.0,5.8,7.6,68.0,7.6,18.526315789473685
2022-03-07,2022,10,0.0,5.0,6.4,49.0,6.4,19.473684210526315
2022-03-14,2022,11,0.0,4.0,5.133333333333334,35.0,5.133333333333334,25.05263157894737
2022-03-21,2022,12,0.01,4.4,5.8,20.0,5.8,22.842105263157894
2022-03-28,2022,13,0.01,4.4,5.866666666666666,19.0,5.866666666666666,22.263157894736842
2022-04-04,2022,14,0.0,4.4,5.8,11.0,5.8,22.210526315789473
2022-04-11,2022,15,0.0,4.0,5.266666666666667,17.0,5.266666666666667,21.63157894736842
